notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
DUSTSTORM,Duststorm,Duststorm,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/24,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/DUSTSTORM,stable
CONVERGENCE_LINE,Convergence line,Convergence line,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/9,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/CONVERGENCE_LINE,stable
QUASI-STATIONARY_FRONT_AT_THE_SURFACE,Quasi-stationary front at the surface,Quasi-stationary front at the surface,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/0,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/QUASI-STATIONARY_FRONT_AT_THE_SURFACE,stable
JETSTREAM,Jet stream,Jet stream,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/10,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/JETSTREAM,stable
THUNDERSTORM,Thunderstorm,Thunderstorm,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/21,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/THUNDERSTORM,stable
ATMOSPHERICS,Atmospherics,Atmospherics,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/18,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/ATMOSPHERICS,stable
VOLCANO,Volcano,Volcano,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/17,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/VOLCANO,stable
TROPICAL_CYCLONE,Tropical cyclone,Tropical cyclone,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/22,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/TROPICAL_CYCLONE,stable
INSTABILITY_LINE,Instability line,Instability line,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/7,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/INSTABILITY_LINE,stable
SPECIAL_CLOUDS,Special clouds,Special clouds,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/20,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/SPECIAL_CLOUDS,stable
COLD_FRONT_ABOVE_THE_SURFACE,Cold front above the surface,Cold front above the surface,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/5,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/COLD_FRONT_ABOVE_THE_SURFACE,stable
OCCLUSION,Occlusion,Occlusion,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/6,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/OCCLUSION,stable
