id,notation,status,description,label,note,related,iwxxmVersionInfo
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/0,0,stable,Nil,0,in cloud,http://codes.wmo.int/bufr4/codeflag/0-11-030/0,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/1,1,stable,Light,1,in cloud,http://codes.wmo.int/bufr4/codeflag/0-11-030/1,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/2,2,stable,Moderate,2,in cloud,http://codes.wmo.int/bufr4/codeflag/0-11-030/2,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/3,3,stable,Severe,3,in cloud,http://codes.wmo.int/bufr4/codeflag/0-11-030/3,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/4,4,stable,Nil,4,in clear air,http://codes.wmo.int/bufr4/codeflag/0-11-030/4,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/5,5,stable,Light,5,in clear air,http://codes.wmo.int/bufr4/codeflag/0-11-030/5,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/6,6,stable,Moderate,6,in clear air,http://codes.wmo.int/bufr4/codeflag/0-11-030/6,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/7,7,stable,Severe,7,in clear air,http://codes.wmo.int/bufr4/codeflag/0-11-030/7,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/8,8,stable,Nil,8,cloud/clear air not specified,http://codes.wmo.int/bufr4/codeflag/0-11-030/8,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/9,9,stable,Light,9,cloud/clear air not specified,http://codes.wmo.int/bufr4/codeflag/0-11-030/9,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/10,10,stable,Moderate,10,cloud/clear air not specified,http://codes.wmo.int/bufr4/codeflag/0-11-030/10,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/11,11,stable,Severe,11,cloud/clear air not specified,http://codes.wmo.int/bufr4/codeflag/0-11-030/11,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/12,12,stable,"Extreme, in clear air",12,,http://codes.wmo.int/bufr4/codeflag/0-11-030/12,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/13,13,stable,"Extreme, in cloud",13,,http://codes.wmo.int/bufr4/codeflag/0-11-030/13,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/14,14,stable,"Extreme, cloud/clear air not specified",14,,http://codes.wmo.int/bufr4/codeflag/0-11-030/14,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/15,15,stable,"Light, isolated moderate",15,,http://codes.wmo.int/bufr4/codeflag/0-11-030/15,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/16,16,stable,"Light, occasional moderate",16,,http://codes.wmo.int/bufr4/codeflag/0-11-030/16,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/17,17,stable,"Light, frequently moderate",17,,http://codes.wmo.int/bufr4/codeflag/0-11-030/17,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/18,18,stable,"Moderate, isolated severe",18,,http://codes.wmo.int/bufr4/codeflag/0-11-030/18,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/19,19,stable,"Moderate, occasional severe",19,,http://codes.wmo.int/bufr4/codeflag/0-11-030/19,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/20,20,stable,"Moderate, frequently severe",20,,http://codes.wmo.int/bufr4/codeflag/0-11-030/20,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/21,21,stable,"Severe, isolated extreme",21,,http://codes.wmo.int/bufr4/codeflag/0-11-030/21,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/22,22,stable,"Severe, occasional extreme",22,,http://codes.wmo.int/bufr4/codeflag/0-11-030/22,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/23,23,stable,"Severe, frequently extreme",23,,http://codes.wmo.int/bufr4/codeflag/0-11-030/23,2025-2
http://codes.wmo.int/iwxxm/ExtendedDegreeOfTurbulence/63,63,stable,Missing value,63,,http://codes.wmo.int/bufr4/codeflag/0-11-030/63,2025-2
