notation,label,description,altLabel,publishDate,source,seeAlso,note,related,iwxxmVersionInfo,URI,status
0-11-030,Extended degree of turbulence,,,2014-09-03T09:54:26.451Z,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030,stable
0-20-008,Cloud distribution for aviation,,,2014-09-03T09:54:41.937Z,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-008,stable
0-20-012,Cloud type,,,2014-09-03T09:54:43.408Z,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-012,stable
0-20-041,Airframe icing,,,2014-09-03T09:54:52.297Z,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041,stable
0-22-061,State of the sea,,,2014-09-03T09:55:16.09Z,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061,stable
