id,notation,status,description,label,related
http://codes.wmo.int/306/4678/+DS,+DS,stable,Heavy duststorm,Heavy duststorm,http://codes.wmo.int/306/4678/+DS
http://codes.wmo.int/306/4678/+DZ,+DZ,stable,Heavy precipitation of drizzle,Heavy precipitation of drizzle,http://codes.wmo.int/306/4678/+DZ
http://codes.wmo.int/306/4678/+DZPL,+DZPL,stable,Heavy precipitation of drizzle and ice pellets,Heavy precipitation of drizzle and ice pellets,http://codes.wmo.int/306/4678/+DZPL
http://codes.wmo.int/306/4678/+DZPLRA,+DZPLRA,stable,"Heavy precipitation of drizzle, ice pellets and rain","Heavy precipitation of drizzle, ice pellets and rain",http://codes.wmo.int/306/4678/+DZPLRA
http://codes.wmo.int/306/4678/+DZRA,+DZRA,stable,Heavy precipitation of drizzle and rain,Heavy precipitation of drizzle and rain,http://codes.wmo.int/306/4678/+DZRA
http://codes.wmo.int/306/4678/+DZRAPL,+DZRAPL,stable,"Heavy precipitation of drizzle, rain and ice pellets","Heavy precipitation of drizzle, rain and ice pellets",http://codes.wmo.int/306/4678/+DZRAPL
http://codes.wmo.int/306/4678/+DZRASG,+DZRASG,stable,"Heavy precipitation of drizzle, rain and snow grains","Heavy precipitation of drizzle, rain and snow grains",http://codes.wmo.int/306/4678/+DZRASG
http://codes.wmo.int/306/4678/+DZRASN,+DZRASN,stable,"Heavy precipitation of drizzle, rain and snow","Heavy precipitation of drizzle, rain and snow",http://codes.wmo.int/306/4678/+DZRASN
http://codes.wmo.int/306/4678/+DZSG,+DZSG,stable,Heavy precipitation of drizzle and snow grains,Heavy precipitation of drizzle and snow grains,http://codes.wmo.int/306/4678/+DZSG
http://codes.wmo.int/306/4678/+DZSGRA,+DZSGRA,stable,"Heavy precipitation of drizzle, snow grains and rain","Heavy precipitation of drizzle, snow grains and rain",http://codes.wmo.int/306/4678/+DZSGRA
http://codes.wmo.int/306/4678/+DZSN,+DZSN,stable,Heavy precipitation of drizzle and snow,Heavy precipitation of drizzle and snow,http://codes.wmo.int/306/4678/+DZSN
http://codes.wmo.int/306/4678/+DZSNRA,+DZSNRA,stable,"Heavy precipitation of drizzle, snow and rain","Heavy precipitation of drizzle, snow and rain",http://codes.wmo.int/306/4678/+DZSNRA
http://codes.wmo.int/306/4678/+FC,+FC,stable,Well-developed funnel cloud(s) (tornado or water-spout),Well-developed funnel cloud(s) (tornado or water-spout),http://codes.wmo.int/306/4678/+FC
http://codes.wmo.int/306/4678/+FZDZ,+FZDZ,stable,Heavy precipitation of freezing drizzle,Heavy precipitation of freezing drizzle,http://codes.wmo.int/306/4678/+FZDZ
http://codes.wmo.int/306/4678/+FZDZRA,+FZDZRA,stable,Heavy precipitation of freezing drizzle and rain,Heavy precipitation of freezing drizzle and rain,http://codes.wmo.int/306/4678/+FZDZRA
http://codes.wmo.int/306/4678/+FZRA,+FZRA,stable,Heavy precipitation of freezng rain,Heavy precipitation of freezng rain,http://codes.wmo.int/306/4678/+FZRA
