id,notation,status,description,label,related,iwxxmVersionInfo
http://codes.wmo.int/iwxxm/CloudType/34,34,experimental,Stratocumulus cumulogenitus,34,http://codes.wmo.int/bufr4/codeflag/0-20-012/34,2025-2
http://codes.wmo.int/iwxxm/CloudType/35,35,experimental,Stratocumulus other than Stratocumulus cumulogenitus,35,http://codes.wmo.int/bufr4/codeflag/0-20-012/35,2025-2
http://codes.wmo.int/iwxxm/CloudType/36,36,experimental,"Stratus nebulosus or Stratus fractus other than of bad weather,* or both",36,http://codes.wmo.int/bufr4/codeflag/0-20-012/36,2025-2
http://codes.wmo.int/iwxxm/CloudType/37,37,experimental,"Stratus fractus or Cumulus fractus of bad weather,* or both (pannus), usually below Altostratus or Nimbostratus",37,http://codes.wmo.int/bufr4/codeflag/0-20-012/37,2025-2
http://codes.wmo.int/iwxxm/CloudType/38,38,experimental,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels",38,http://codes.wmo.int/bufr4/codeflag/0-20-012/38,2025-2
http://codes.wmo.int/iwxxm/CloudType/39,39,experimental,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus",39,http://codes.wmo.int/bufr4/codeflag/0-20-012/39,2025-2
http://codes.wmo.int/iwxxm/CloudType/40,40,experimental,CH,40,http://codes.wmo.int/bufr4/codeflag/0-20-012/40,2025-2
http://codes.wmo.int/iwxxm/CloudType/41,41,experimental,CM,41,http://codes.wmo.int/bufr4/codeflag/0-20-012/41,2025-2
http://codes.wmo.int/iwxxm/CloudType/42,42,experimental,CL,42,http://codes.wmo.int/bufr4/codeflag/0-20-012/42,2025-2
http://codes.wmo.int/iwxxm/CloudType/59,59,experimental,"Cloud not visible owing to darkness, fog, duststorm, sandstorm, or other analogous phenomena",59,http://codes.wmo.int/bufr4/codeflag/0-20-012/59,2025-2
http://codes.wmo.int/iwxxm/CloudType/60,60,experimental,"CH clouds invisible owing to darkness, fog, blowing dust or sand, or other similar phenomena, or because of a continuous layer of lower clouds",60,http://codes.wmo.int/bufr4/codeflag/0-20-012/60,2025-2
http://codes.wmo.int/iwxxm/CloudType/61,61,experimental,"CM clouds invisible owing to darkness, fog, blowing dust or sand, or other similar phenomena, or because of continuous layer of lower clouds",61,http://codes.wmo.int/bufr4/codeflag/0-20-012/61,2025-2
http://codes.wmo.int/iwxxm/CloudType/62,62,experimental,"CL clouds invisible owing to darkness, fog, blowing dust or sand, or other similar phenomena",62,http://codes.wmo.int/bufr4/codeflag/0-20-012/62,2025-2
http://codes.wmo.int/iwxxm/CloudType/63,63,experimental,Missing value,63,http://codes.wmo.int/bufr4/codeflag/0-20-012/63,2025-2
