notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
AboveDetectionRange,Above detection range,The value was above the detection range of the instrument used to estimate it.,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/AboveDetectionRange,stable
BelowDetectionRange,Below detection range,The value was below the detection range of the instrument used to estimate it.,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/BelowDetectionRange,stable
inapplicable,Inapplicable,There is no value.,,ISO 19136:2007 Geographic information - Geography Markup Language sub-clause 8.2.3.1,http://www.opengis.net/doc/gml#clause-8.2.3.1,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/inapplicable,stable
missing,Missing,"The correct value is not readily available to the sender of this data. Furthermore, a correct value may not exist.",,ISO 19136:2007 Geographic information - Geography Markup Language sub-clause 8.2.3.1,http://www.opengis.net/doc/gml#clause-8.2.3.1,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/missing,stable
noSignificantChange,No significant change,No significant change is expected to occur.,NOSIG,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/noSignificantChange,stable
notDetectedByAutoSystem,Nothing detected by automated system,The automated observing system did not detect a value (e.g. no cloud detected NCD).,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/notDetectedByAutoSystem,stable
notObservable,Not observable,"A system failure, sensor failure, or sensor obstruction, prevented the intended observation of the value.",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/notObservable,stable
nothingOfOperationalSignificance,Nothing of operational signficance,"Nothing was observed or forecast of operational significance (e.g. nil significant cloud NSC, nil significant weather NSW).",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/nothingOfOperationalSignificance,stable
template,Template,The value will be available later.,,ISO 19136:2007 Geographic information - Geography Markup Language sub-clause 8.2.3.1,http://www.opengis.net/doc/gml#clause-8.2.3.1,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/template,stable
unknown,Unknown,"The correct value is not known to, and not computable by, the sender of this data. However, a correct value probably exists.",,ISO 19136:2007 Geographic information - Geography Markup Language sub-clause 8.2.3.1,http://www.opengis.net/doc/gml#clause-8.2.3.1,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/unknown,stable
withheld,Withheld,The value is not divulged.,,ISO 19136:2007 Geographic information - Geography Markup Language sub-clause 8.2.3.1,http://www.opengis.net/doc/gml#clause-8.2.3.1,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/common/nil/withheld,stable
