notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
0,0,No icing,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/0,stable
1,1,Light icing,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/1,stable
2,2,Light icing in cloud,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/2,stable
3,3,Light icing in precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/3,stable
4,4,Moderate icing,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/4,stable
5,5,Moderate icing in cloud,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/5,stable
6,6,Moderate icing in precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/6,stable
7,7,Severe icing,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/7,stable
8,8,Severe icing in cloud,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/8,stable
9,9,Severe icing in precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/9,stable
10,10,Trace of icing,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/10,stable
11,11,Trace of icing in cloud,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/11,stable
12,12,Trace of icing in precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/12,stable
15,15,Missing value,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-20-041/15,stable
