notation,label,description,altLabel,publishDate,source,seeAlso,note,related,iwxxmVersionInfo,URI,status
AerodromePresentOrForecastWeather,Code Table D-7: Aerodrome present or forecast weather,"The items within this code table are the weather phenomena that may be reported as forecast to occur or have been observed at an aerodrome. Requirements for reporting present or forecast weather at an aerodrome are specified in ICAO Anned 3 and PANS-MET.  The weather phenomena listed here are a subset of the enumerated set of meteorologically valid combinations specified in the Manual on Codes (WMO No.306), Vol. I.1 Part A, Code table 4678 comprising elements ‘intensity or proximity’, ‘descriptor’, ‘precipitation’, ‘obscuration’ and/or ‘other’.",,2014-09-03T09:52:40.633Z,,,,D-7,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/AerodromePresentOrForecastWeather,stable
AerodromeRecentWeather,Code Table D-6: Aerodrome recent weather,"The items within this code table are the weather types that may be reported within a meteorological aerodrome observation report that have occurred during the period since the last issued routine report or last hour, whichever is shorter, but are not observed at the time of the observation. Requirements for reporting recent weather at an aerodrome are specified in ICAO Annex 3 and PANS-MET.  This code table contains the set of weather types that are permitted for reporting recent weather. These are a subset of the enumerated set of meteorologically valid combinations specified in the Manual on Codes (WMO No.306), Vol. I.1 Part A, Code table 4678 comprising elements ‘intensity or proximity’, ‘descriptor’, ‘precipitation’, ‘obscuration’ and/or ‘other’.",,2018-04-04T15:53:40.229Z,,,,D-6,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/AerodromeRecentWeather,stable
AirWxPhenomena,Air Wx Phenomena,The items within this code table are the weather phenomena to be included in a SIGMET message as defind in ICAO Annex 3 and PANS-MET,,2016-12-30T13:26:05.884Z,,,,,2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/AirWxPhenomena,stable
AviationColourCode,Volcanic Aviation Colour Code,The items within this code table are the volcano level of alert colour codes for aviation defined in ICAO Doc 9766,,2016-12-30T13:26:16.18Z,,,,,2.1;3.0;2021-2;2023-1,http://codes.wmo.int/49-2/AviationColourCode,stable
CloudAmountReportedAtAerodrome,Code Table D-8: Cloud amount reported at aerodrome,"The items within this code table are the cloud amount categories of operational significance for aviation as specified in ICAO Annex 3 and PANS-MET. This code table contains a subset of the cloud amount categories defined in the Manual on Codes (WMO No.306), Vol. I.2 Part B FM 94 BUFR Code table 0 20 008.",,2019-10-24T10:48:29.014Z,,,,D-8,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/CloudAmountReportedAtAerodrome,stable
MeteorologicalFeature,Meteorological Features,The items within this code table are the weather phenomena being represented by a weather object,,2021-07-15T00:00:00.000Z,,,,,2021-2;2023-1,http://codes.wmo.int/49-2/MeteorologicalFeature,stable
SigConvectiveCloudType,Code Table D-9: Significant convective cloud type,"The items within this code table are the cloud types of operational significance for aviation as specified in ICAO Annex 3 and PANS-MET. This code table contains a subset of the cloud types defined in the Manual on Codes (WMO No.306), Vol. I.2 Part B FM 94 BUFR Code table 0 20 012.",,2019-10-24T10:48:05.101Z,,,,D-9,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/SigConvectiveCloudType,stable
SigWxPhenomena,Code Table D-10: Significant Weather Phenomena,The items within this code table are the types of weather phenomena of significance to aeronautical operations – as used in SIGMET and AIRMET reports and specified in ICAO Annex 3 and PANS-MET,,2014-09-03T09:52:41.384Z,,,,D-10,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/SigWxPhenomena,stable
SpaceWxLocation,Space Wx Location,The items within this code table are the locations of space weather phenomena of significance to aeronautical operations,,2019-03-20T16:57:02.324Z,,,,,3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/SpaceWxLocation,stable
SpaceWxPhenomena,Space Wx Phenomena,The items within this code table are the types of space weather phenomena of significance to aeronautical operations,,2019-03-20T16:54:58.099Z,,,,,3.0;2021-2;2023-1,http://codes.wmo.int/49-2/SpaceWxPhenomena,stable
WeatherCausingVisibilityReduction,Weather Causing Visibility Reduction,The items within this code table are the weather phenomena or combinations thereof causing reduction of visibility to less than 5 000 m in widespread areas – as used in AIRMET and specified in ICAO Annex 3 and PANS-MET (SFC VIS),,2016-12-30T13:26:25.95Z,,,,,2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction,stable
