id,notation,status,description,label
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/BR,BR,stable,Mist,Mist
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/DS,DS,stable,Duststorm,Duststorm
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/DU,DU,stable,Dust,Dust
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/DZ,DZ,stable,Drizzle,Drizzle
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/FC,FC,stable,Funnel Cloud,Funnel Cloud
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/FG,FG,stable,Fog,Fog
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/FU,FU,stable,Smoke,Smoke
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/GR,GR,stable,Hail,Hail
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/GS,GS,stable,Small Hail,Small Hail
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/HZ,HZ,stable,Haze,Haze
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/PL,PL,stable,Ice pellets,Ice pellets
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/PO,PO,stable,Dust/stand whirls,Dust/stand whirls
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/RA,RA,stable,Rain,Rain
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/SA,SA,stable,Sand,Sand
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/SG,SG,stable,Snow grams,Snow grams
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/SN,SN,stable,Snow,Snow
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/SQ,SQ,stable,Squall,Squall
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/SS,SS,stable,Sandstorm,Sandstorm
http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction/VA,VA,stable,Volcanic Ash,Volcanic Ash
