id,notation,status,description,label
http://codes.wmo.int/306/4678/+DS,+DS,stable,,Heavy duststorm
http://codes.wmo.int/306/4678/+DZ,+DZ,stable,,Heavy precipitation of drizzle
http://codes.wmo.int/306/4678/+DZPL,+DZPL,stable,,Heavy precipitation of drizzle and ice pellets
http://codes.wmo.int/306/4678/+DZPLRA,+DZPLRA,stable,,"Heavy precipitation of drizzle, ice pellets and rain"
http://codes.wmo.int/306/4678/+DZRA,+DZRA,stable,,Heavy precipitation of drizzle and rain
http://codes.wmo.int/306/4678/+DZRAPL,+DZRAPL,stable,,"Heavy precipitation of drizzle, rain and ice pellets"
http://codes.wmo.int/306/4678/+DZRASG,+DZRASG,stable,,"Heavy precipitation of drizzle, rain and snow grains"
http://codes.wmo.int/306/4678/+DZRASN,+DZRASN,stable,,"Heavy precipitation of drizzle, rain and snow"
http://codes.wmo.int/306/4678/+DZSG,+DZSG,stable,,Heavy precipitation of drizzle and snow grains
http://codes.wmo.int/306/4678/+DZSGRA,+DZSGRA,stable,,"Heavy precipitation of drizzle, snow grains and rain"
http://codes.wmo.int/306/4678/+DZSN,+DZSN,stable,,Heavy precipitation of drizzle and snow
http://codes.wmo.int/306/4678/+DZSNRA,+DZSNRA,stable,,"Heavy precipitation of drizzle, snow and rain"
http://codes.wmo.int/306/4678/+FC,+FC,stable,,"Well-developed funnel cloud(s) (tornado or water-spout)"
http://codes.wmo.int/306/4678/+FZDZ,+FZDZ,stable,,Heavy precipitation of freezing drizzle
http://codes.wmo.int/306/4678/+FZDZRA,+FZDZRA,stable,,Heavy precipitation of freezing drizzle and rain
http://codes.wmo.int/306/4678/+FZRA,+FZRA,stable,,Heavy precipitation of freezng rain
http://codes.wmo.int/306/4678/+FZRADZ,+FZRADZ,stable,,Heavy precipitation of freezing rain and drizzle
http://codes.wmo.int/306/4678/+FZUP,+FZUP,stable,,Heavy unidentified freezing precipitation
http://codes.wmo.int/306/4678/+PL,+PL,stable,,Heavy precipitation of ice pellets
http://codes.wmo.int/306/4678/+PLDZ,+PLDZ,stable,,Heavy precipitation of ice pellets and drizzle
http://codes.wmo.int/306/4678/+PLDZRA,+PLDZRA,stable,,"Heavy precipitation of ice pellets, drizzle and rain"
http://codes.wmo.int/306/4678/+PLRA,+PLRA,stable,,Heavy precipitation of ice pellets and rain
http://codes.wmo.int/306/4678/+PLRADZ,+PLRADZ,stable,,"Heavy precipitation of ice pellets, rain and drizzle"
http://codes.wmo.int/306/4678/+PLRASN,+PLRASN,stable,,"Heavy precipitation of ice pellets, rain and snow"
http://codes.wmo.int/306/4678/+PLSG,+PLSG,stable,,Heavy precipitation of ice pellets and snow grains
http://codes.wmo.int/306/4678/+PLSGSN,+PLSGSN,stable,,"Heavy precipitation of ice pellets, snow grains and snow"
http://codes.wmo.int/306/4678/+PLSN,+PLSN,stable,,Heavy precipitation of ice pellets and snow
