id,notation,status,description,label,related,iwxxmVersionInfo
http://codes.wmo.int/iwxxm/SpaceWxLocation/DAYLIGHT_SIDE,DAYLIGHT_SIDE,stable,Daylight Side,Daylight Side,,3.0;2021-2;2023-1
http://codes.wmo.int/iwxxm/SpaceWxLocation/DAYSIDE,DAYSIDE,experimental,Day Side,Day Side,,2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation/NIGHTSIDE,NIGHTSIDE,experimental,Night Side,Night Side,,2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation/EQN,EQN,stable,Equatorial latitudes northern hemisphere (30\u00B0N - 0\u00B0N),Equatorial latitudes northern hemisphere,,3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation/EQS,EQS,stable,Equatorial latitudes southern hemisphere (0\u00B0S - 30\u00B0S),Equatorial latitudes southern hemisphere,,3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation/HNH,HNH,stable,High latitudes northern hemisphere (90\u00B0N - 60\u00B0N),High latitudes northern hemisphere,,3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation/HSH,HSH,stable,High latitudes southern hemisphere (60\u00B0S - 90\u00B0S),High latitudes southern hemisphere,,3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation/MNH,MNH,stable,Middle latitudes northern hemisphere (60\u00B0N - 30\u00B0N),Middle latitudes northern hemisphere,,3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/SpaceWxLocation/MSH,MSH,stable,Middle latitudes southern hemisphere (30\u00B0S - 60\u00B0S),Middle latitudes southern hemisphere,,3.0;2021-2;2023-1;2025-2
