notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
REBLSN,Blowing snow,Blowing snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/BLSN,stable
REDS,Duststorm,Duststorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DS,stable
REDZ,Precipitation of drizzle,Precipitation of drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZ,stable
REFC,Funnel cloud(s) (tornado or water-spout),Funnel cloud(s) (tornado or water-spout),,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FC,stable
REFZDZ,Precipitation of freezing drizzle,Precipitation of freezing drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZDZ,stable
REFZRA,Precipitation of freezing rain,Precipitation of freezing rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZRA,stable
REFZUP,Unidentified freezing precipitation,Unidentified freezing precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/FZUP,stable
REPL,Precipitation of ice pellets,Precipitation of ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/PL,stable
RERA,Precipitation of rain,Precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RA,stable
RERASN,Precipitation of rain and snow,Precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/RASN,stable
RESG,Precipitation of snow grains,Precipitation of snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SG,stable
RESHGR,Showery precipitation of hail,Showery precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGR,stable
RESHGS,Showery precipitation of snow pellets/small hail,Showery precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHGS,stable
RESHRA,Showery precipitation of rain,Showery precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHRA,stable
RESHSN,Showery precipitation of snow,Showery precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHSN,stable
RESHUP,Showery precipitation of unidentified precipitation,Showery precipitation of unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SHUP,stable
RESN,Precipitation of snow,Precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SN,stable
RESS,Sandstorm,Sandstorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/SS,stable
RETS,Thunderstorm,Thunderstorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TS,stable
RETSGR,Thunderstorm with precipitation of hail,Thunderstorm with precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGR,stable
RETSGS,Thunderstorm with precipitation of snow pellets/small hail,Thunderstorm with precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSGS,stable
RETSRA,Thunderstorm with precipitation of rain,Thunderstorm with precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSRA,stable
RETSSN,Thunderstorm with precipitation of snow,Thunderstorm with precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSSN,stable
RETSUP,Thunderstorm with unidentified precipitation,Thunderstorm with unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/TSUP,stable
REUP,Unidentified precipitation,Unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/UP,stable
REVA,Volcanic ash,Volcanic ash,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/VA,stable
