id,notation,status,description,label,related,iwxxmVersionInfo
http://codes.wmo.int/iwxxm/AirWxPhenomena/BKN_CLD,BKN_CLD,stable,Broken cloud,Broken cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/FRQ_CB,FRQ_CB,stable,Frequent cumulonimbus cloud,Frequent cumulonimbus cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/FRQ_TCU,FRQ_TCU,stable,Frequent towering cumulus cloud,Frequent towering cumulus cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_CB,ISOL_CB,stable,Isolated cumulonimbus cloud,Isolated cumulonimbus cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_TCU,ISOL_TCU,stable,Isolated towering cumulus cloud,Isolated towering cumulus cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_TS,ISOL_TS,stable,Isolated thunderstorms,Isolated thunderstorms,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/ISOL_TSGR,ISOL_TSGR,stable,Isolated thunderstorms with hail,Isolated thunderstorms with hail,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/MOD_ICE,MOD_ICE,stable,Moderate icing,Moderate icing,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/MOD_MTW,MOD_MTW,stable,Moderate mountain wave,Moderate mountain wave,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/MOD_TURB,MOD_TURB,stable,Moderate turbulence,Moderate turbulence,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/MT_OBSC,MT_OBSC,stable,Mountain obscuration,Mountain obscuration,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_CB,OCNL_CB,stable,Occasional cumulonimbus cloud,Occasional cumulonimbus cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_TCU,OCNL_TCU,stable,Occasional towering cumulus cloud,Occasional towering cumulus cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_TS,OCNL_TS,stable,Occasional thunderstorms,Occasional thunderstorms,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/OCNL_TSGR,OCNL_TSGR,stable,Occasional thunderstorms with hail,Occasional thunderstorms with hail,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/OVC_CLD,OVC_CLD,stable,Overcast cloud,Overcast cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/SFC_VIS,SFC_VIS,stable,Surface visibility,Surface visibility,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/AirWxPhenomena/SFC_WIND,SFC_WIND,stable,Widespread mean surface wind,Widespread mean surface wind,,2.1;3.0;2021-2;2023-1;2025-2
