notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
+DS,Heavy duststorm,Heavy duststorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DS,stable
+DZ,Heavy precipitation of drizzle,Heavy precipitation of drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZ,stable
+DZPL,Heavy precipitation of drizzle and ice pellets,Heavy precipitation of drizzle and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZPL,stable
+DZPLRA,"Heavy precipitation of drizzle, ice pellets and rain","Heavy precipitation of drizzle, ice pellets and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZPLRA,stable
+DZRA,Heavy precipitation of drizzle and rain,Heavy precipitation of drizzle and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZRA,stable
+DZRAPL,"Heavy precipitation of drizzle, rain and ice pellets","Heavy precipitation of drizzle, rain and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZRAPL,stable
+DZRASG,"Heavy precipitation of drizzle, rain and snow grains","Heavy precipitation of drizzle, rain and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZRASG,stable
+DZRASN,"Heavy precipitation of drizzle, rain and snow","Heavy precipitation of drizzle, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZRASN,stable
+DZSG,Heavy precipitation of drizzle and snow grains,Heavy precipitation of drizzle and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZSG,stable
+DZSGRA,"Heavy precipitation of drizzle, snow grains and rain","Heavy precipitation of drizzle, snow grains and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZSGRA,stable
+DZSN,Heavy precipitation of drizzle and snow,Heavy precipitation of drizzle and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZSN,stable
+DZSNRA,"Heavy precipitation of drizzle, snow and rain","Heavy precipitation of drizzle, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+DZSNRA,stable
+FC,Well-developed funnel cloud(s) (tornado or waterspout),Well-developed funnel cloud(s) (tornado or waterspout),,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+FC,stable
+FZDZ,Heavy precipitation of freezing drizzle,Heavy precipitation of freezing drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+FZDZ,stable
+FZDZRA,Heavy precipitation of freezing drizzle and rain,Heavy precipitation of freezing drizzle and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+FZDZRA,stable
+FZRA,Heavy precipitation of freezng rain,Heavy precipitation of freezng rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+FZRA,stable
+FZRADZ,Heavy precipitation of freezing rain and drizzle,Heavy precipitation of freezing rain and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+FZRADZ,stable
+FZUP,Heavy unidentified freezing precipitation,Heavy unidentified freezing precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+FZUP,stable
+PL,Heavy precipitation of ice pellets,Heavy precipitation of ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PL,stable
+PLDZ,Heavy precipitation of ice pellets and drizzle,Heavy precipitation of ice pellets and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLDZ,stable
+PLDZRA,"Heavy precipitation of ice pellets, drizzle and rain","Heavy precipitation of ice pellets, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLDZRA,stable
+PLRA,Heavy precipitation of ice pellets and rain,Heavy precipitation of ice pellets and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLRA,stable
+PLRADZ,"Heavy precipitation of ice pellets, rain and drizzle","Heavy precipitation of ice pellets, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLRADZ,stable
