notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
+PLRASN,"Heavy precipitation of ice pellets, rain and snow","Heavy precipitation of ice pellets, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLRASN,stable
+PLSG,Heavy precipitation of ice pellets and snow grains,Heavy precipitation of ice pellets and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLSG,stable
+PLSGSN,"Heavy precipitation of ice pellets, snow grains and snow","Heavy precipitation of ice pellets, snow grains and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLSGSN,stable
+PLSN,Heavy precipitation of ice pellets and snow,Heavy precipitation of ice pellets and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLSN,stable
+PLSNRA,"Heavy precipitation of ice pellets, snow and rain","Heavy precipitation of ice pellets, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLSNRA,stable
+PLSNSG,"Heavy precipitation of ice pellets, snow and snow grains","Heavy precipitation of ice pellets, snow and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+PLSNSG,stable
+RA,Heavy precipitation of rain,Heavy precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RA,stable
+RADZ,Heavy precipitation of rain and drizzle,Heavy precipitation of rain and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RADZ,stable
+RADZPL,"Heavy precipitation of rain, drizzle and ice pellets","Heavy precipitation of rain, drizzle and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RADZPL,stable
+RADZSG,"Heavy precipitation of rain, drizzle and snow grains","Heavy precipitation of rain, drizzle and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RADZSG,stable
+RADZSN,"Heavy precipitation of rain, drizzle and snow","Heavy precipitation of rain, drizzle and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RADZSN,stable
+RAPL,Heavy precipitation of rain and ice pellets,Heavy precipitation of rain and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RAPL,stable
+RAPLDZ,"Heavy precipitation of rain, ice pellets and drizzle","Heavy precipitation of rain, ice pellets and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RAPLDZ,stable
+RAPLSN,"Heavy precipitation of rain, ice pellets and snow","Heavy precipitation of rain, ice pellets and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RAPLSN,stable
+RASG,Heavy precipitation of rain and snow grains,Heavy precipitation of rain and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RASG,stable
+RASGDZ,"Heavy precipitation of rain, snow grains and drizzle","Heavy precipitation of rain, snow grains and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RASGDZ,stable
+RASGSN,"Heavy precipitation of rain, snow grains and snow","Heavy precipitation of rain, snow grains and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RASGSN,stable
+RASN,Heavy precipitation of rain and snow,Heavy precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RASN,stable
+RASNDZ,"Heavy precipitation of rain, snow and drizzle","Heavy precipitation of rain, snow and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RASNDZ,stable
+RASNPL,"Heavy precipitation of rain, snow and ice pellets","Heavy precipitation of rain, snow and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RASNPL,stable
+RASNSG,"Heavy precipitation of rain, snow and snow grains","Heavy precipitation of rain, snow and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+RASNSG,stable
+SG,Heavy precipitation of snow grains,Heavy precipitation of snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SG,stable
+SGDZ,Heavy precipitation of snow grains and drizzle,Heavy precipitation of snow grains and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGDZ,stable
+SGDZRA,"Heavy precipitation of snow grains, drizzle and rain","Heavy precipitation of snow grains, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGDZRA,stable
+SGPL,Heavy precipitation of snow grains and ice pellets,Heavy precipitation of snow grains and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGPL,stable
+SGPLSN,"Heavy precipitation of snow grains, ice pellets and snow","Heavy precipitation of snow grains, ice pellets and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGPLSN,stable
+SGRA,Heavy precipitation of snow grains and rain,Heavy precipitation of snow grains and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGRA,stable
+SGRADZ,"Heavy precipitation of snow grains, rain and drizzle","Heavy precipitation of snow grains, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGRADZ,stable
+SGRASN,"Heavy precipitation of snow grains, rain and snow","Heavy precipitation of snow grains, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGRASN,stable
+SGSN,Heavy precipitation of snow grains and snow,Heavy precipitation of snow grains and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGSN,stable
+SGSNPL,"Heavy precipitation of snow grains, snow and ice pellets","Heavy precipitation of snow grains, snow and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGSNPL,stable
+SGSNRA,"Heavy precipitation of snow grains, snow and rain","Heavy precipitation of snow grains, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SGSNRA,stable
+SHGR,Heavy showery precipitation of hail,Heavy showery precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGR,stable
+SHGRRA,Heavy showery precipitation of hail and rain,Heavy showery precipitation of hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGRRA,stable
+SHGRRASN,"Heavy showery precipitation of hail, rain and snow","Heavy showery precipitation of hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGRRASN,stable
+SHGRSN,Heavy showery precipitation of hail and snow,Heavy showery precipitation of hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGRSN,stable
+SHGRSNRA,"Heavy showery precipitation of hail, snow and rain","Heavy showery precipitation of hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGRSNRA,stable
+SHGS,Heavy showery precipitation of snow pellets/small hail,Heavy showery precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGS,stable
+SHGSRA,Heavy showery precipitation of snow pellets/small hail and rain,Heavy showery precipitation of snow pellets/small hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGSRA,stable
+SHGSRASN,"Heavy showery precipitation of snow pellets/small hail, rain and snow","Heavy showery precipitation of snow pellets/small hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGSRASN,stable
+SHGSSN,Heavy showery precipitation of snow pellets/small hail and snow,Heavy showery precipitation of snow pellets/small hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGSSN,stable
+SHGSSNRA,"Heavy showery precipitation of snow pellets/small hail, snow and rain","Heavy showery precipitation of snow pellets/small hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHGSSNRA,stable
+SHRA,Heavy showery precipitation of rain,Heavy showery precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRA,stable
+SHRAGR,Heavy showery precipitation of rain and hail,Heavy showery precipitation of rain and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRAGR,stable
+SHRAGRSN,"Heavy showery precipitation of rain, hail and snow","Heavy showery precipitation of rain, hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRAGRSN,stable
+SHRAGS,Heavy showery precipitation of rain and snow pellets/small hail,Heavy showery precipitation of rain and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRAGS,stable
+SHRAGSSN,"Heavy showery precipitation of rain, snow pellets/small hail and snow","Heavy showery precipitation of rain, snow pellets/small hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRAGSSN,stable
+SHRASN,Heavy showery precipitation of rain and snow,Heavy showery precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRASN,stable
+SHRASNGR,"Heavy showery precipitation of rain, snow and hail","Heavy showery precipitation of rain, snow and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRASNGR,stable
+SHRASNGS,"Heavy showery precipitation of rain, snow and snow pellets/small hail","Heavy showery precipitation of rain, snow and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHRASNGS,stable
+SHSN,Heavy showery precipitation of snow,Heavy showery precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSN,stable
+SHSNGR,Heavy showery precipitation of snow and hail,Heavy showery precipitation of snow and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSNGR,stable
+SHSNGRRA,"Heavy showery precipitation of snow, hail and rain","Heavy showery precipitation of snow, hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSNGRRA,stable
+SHSNGS,Heavy showery precipitation of snow and snow pellets/small hail,Heavy showery precipitation of snow and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSNGS,stable
+SHSNGSRA,"Heavy showery precipitation of snow, snow pellets/small hail and rain","Heavy showery precipitation of snow, snow pellets/small hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSNGSRA,stable
+SHSNRA,Heavy showery precipitation of snow and rain,Heavy showery precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSNRA,stable
+SHSNRAGR,"Heavy showery precipitation of snow, rain and hail","Heavy showery precipitation of snow, rain and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSNRAGR,stable
+SHSNRAGS,"Heavy showery precipitation of snow, rain and snow pellets/small hail","Heavy showery precipitation of snow, rain and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHSNRAGS,stable
+SHUP,Heavy unidentified showery precipitation,Heavy unidentified showery precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SHUP,stable
+SN,Heavy precipitation of snow,Heavy precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SN,stable
+SNDZ,Heavy precipitation of snow and drizzle,Heavy precipitation of snow and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNDZ,stable
+SNDZRA,"Heavy precipitation of snow, drizzle and rain","Heavy precipitation of snow, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNDZRA,stable
+SNPL,Heavy precipitation of snow and ice pellets,Heavy precipitation of snow and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNPL,stable
+SNPLRA,"Heavy precipitation of snow, ice pellets and rain","Heavy precipitation of snow, ice pellets and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNPLRA,stable
+SNPLSG,"Heavy precipitation of snow, ice pellets and snow grains","Heavy precipitation of snow, ice pellets and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNPLSG,stable
+SNRA,Heavy precipitation of snow and rain,Heavy precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNRA,stable
+SNRADZ,"Heavy precipitation of snow, rain and drizzle","Heavy precipitation of snow, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNRADZ,stable
+SNRAPL,"Heavy precipitation of snow, rain and ice pellets","Heavy precipitation of snow, rain and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNRAPL,stable
+SNRASG,"Heavy precipitation of snow, rain and snow grains","Heavy precipitation of snow, rain and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNRASG,stable
+SNSG,Heavy precipitation of snow and snow grains,Heavy precipitation of snow and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNSG,stable
+SNSGPL,"Heavy precipitation of snow, snow grains and ice pellets","Heavy precipitation of snow, snow grains and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNSGPL,stable
+SNSGRA,"Heavy precipitation of snow, snow grains and rain","Heavy precipitation of snow, snow grains and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SNSGRA,stable
+SS,Heavy sandstorm,Heavy sandstorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+SS,stable
+TSGR,Thunderstorm with heavy precipitation of hail,Thunderstorm with heavy precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGR,stable
+TSGRRA,Thunderstorm with heavy precipitation of hail and rain,Thunderstorm with heavy precipitation of hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGRRA,stable
+TSGRRASN,"Thunderstorm with heavy precipitation of hail, rain and snow","Thunderstorm with heavy precipitation of hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGRRASN,stable
+TSGRSN,Thunderstorm with heavy precipitation of hail and snow,Thunderstorm with heavy precipitation of hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGRSN,stable
+TSGRSNRA,"Thunderstorm with heavy precipitation of hail, snow and rain","Thunderstorm with heavy precipitation of hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGRSNRA,stable
+TSGS,Thunderstorm with heavy precipitation of snow pellets/small hail,Thunderstorm with heavy precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGS,stable
+TSGSRA,Thunderstorm with heavy precipitation of snow pellets/small hail and rain,Thunderstorm with heavy precipitation of snow pellets/small hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGSRA,stable
+TSGSRASN,"Thunderstorm with heavy precipitation of snow pellets/small hail, rain and snow","Thunderstorm with heavy precipitation of snow pellets/small hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGSRASN,stable
+TSGSSN,Thunderstorm with heavy precipitation of snow pellets/small hail and snow,Thunderstorm with heavy precipitation of snow pellets/small hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGSSN,stable
+TSGSSNRA,"Thunderstorm with heavy precipitation of snow pellets/small hail, snow and rain","Thunderstorm with heavy precipitation of snow pellets/small hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSGSSNRA,stable
+TSRA,Thunderstorm with heavy precipitation of rain,Thunderstorm with heavy precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRA,stable
+TSRAGR,Thunderstorm with heavy precipitation of rain and hail,Thunderstorm with heavy precipitation of rain and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRAGR,stable
+TSRAGRSN,"Thunderstorm with heavy precipitation of rain, hail and snow","Thunderstorm with heavy precipitation of rain, hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRAGRSN,stable
+TSRAGS,Thunderstorm with heavy precipitation of rain and snow pellets/small hail,Thunderstorm with heavy precipitation of rain and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRAGS,stable
+TSRAGSSN,"Thunderstorm with heavy precipitation of rain, snow pellets/small hail and snow","Thunderstorm with heavy precipitation of rain, snow pellets/small hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRAGSSN,stable
+TSRASN,Thunderstorm with heavy precipitation of rain and snow,Thunderstorm with heavy precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRASN,stable
+TSRASNGR,"Thunderstorm with heavy precipitation of rain, snow and hail","Thunderstorm with heavy precipitation of rain, snow and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRASNGR,stable
+TSRASNGS,"Thunderstorm with heavy precipitation of rain, snow and snow pellets/small hail","Thunderstorm with heavy precipitation of rain, snow and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSRASNGS,stable
+TSSN,Thunderstorm with heavy precipitation of snow,Thunderstorm with heavy precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSN,stable
+TSSNGR,Thunderstorm with heavy precipitation of snow and hail,Thunderstorm with heavy precipitation of snow and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSNGR,stable
+TSSNGRRA,"Thunderstorm with heavy precipitation of snow, hail and rain","Thunderstorm with heavy precipitation of snow, hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSNGRRA,stable
+TSSNGS,Thunderstorm with heavy precipitation of snow and snow pellets/small hail,Thunderstorm with heavy precipitation of snow and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSNGS,stable
+TSSNGSRA,"Thunderstorm with heavy precipitation of snow, snow pellets/small hail and rain","Thunderstorm with heavy precipitation of snow, snow pellets/small hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSNGSRA,stable
+TSSNRA,Thunderstorm with heavy precipitation of snow and rain,Thunderstorm with heavy precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSNRA,stable
+TSSNRAGR,"Thunderstorm with heavy precipitation of snow, rain and hail","Thunderstorm with heavy precipitation of snow, rain and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSNRAGR,stable
+TSSNRAGS,"Thunderstorm with heavy precipitation of snow, rain and snow pellets/small hail","Thunderstorm with heavy precipitation of snow, rain and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSSNRAGS,stable
+TSUP,Thunderstorm with heavy precipitation of unidentified precipitation,Thunderstorm with heavy precipitation of unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+TSUP,stable
+UP,Heavy unidentified precipitation,Heavy unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/+UP,stable
-DS,Light duststorm,Light duststorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DS,stable
-DZ,Light precipitation of drizzle,Light precipitation of drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZ,stable
-DZPL,Light precipitation of drizzle and ice pellets,Light precipitation of drizzle and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZPL,stable
-DZPLRA,"Light precipitation of drizzle, ice pellets and rain","Light precipitation of drizzle, ice pellets and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZPLRA,stable
-DZRA,Light precipitation of drizzle and rain,Light precipitation of drizzle and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZRA,stable
