notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
GREEN,Green,"Volcano is in normal, non-eruptive state.  Or, after a change from a higher alert level: Volcanic activity considered to have ceased, and volcano reverted to its normal, non-eruptive state.",,,,,,2025-2,http://codes.wmo.int/iwxxm/AviationColourCode/GREEN,experimental
YELLOW,Yellow,"Volcano is experiencing signs of elevated unrest above known background levels. Or, after a change from higher alert level: Volcanic activity has decreased significantly but continues to be closely monitored for possible renewed increase.",,,,,,2025-2,http://codes.wmo.int/iwxxm/AviationColourCode/YELLOW,experimental
ORANGE,Orange,"Volcano is exhibiting heightened unrest with increased likelihood of eruption.  Or, volcanic eruption is underway with no or minor ash emission [specify ash-plume height if possible].",,,,,,2025-2,http://codes.wmo.int/iwxxm/AviationColourCode/ORANGE,experimental
RED,Red,"Eruption is forecasted to be imminent with significant emission of ash into the atmosphere likely. Or, eruption is underway with significant emission of ash into the atmosphere [specify ash-plume height if possible].",,,,,,2025-2,http://codes.wmo.int/iwxxm/AviationColourCode/RED,experimental
NOT_GIVEN,Not Given,Not Given,,,,,,2025-2,http://codes.wmo.int/iwxxm/AviationColourCode/NOT_GIVEN,experimental
UNKNOWN,Unknown,Unknown,,,,,,2025-2,http://codes.wmo.int/iwxxm/AviationColourCode/UNKNOWN,experimental
