notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
0,0,Calm (glassy),,,,,0,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/0,stable
1,1,Calm (rippled),,,,,0 - 0.1,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/1,stable
2,2,Smooth (wavelets),,,,,0.1 - 0.5,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/2,stable
3,3,Slight,,,,,0.5 - 1.25,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/3,stable
4,4,Moderate,,,,,1.25 - 2.5,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/4,stable
5,5,Rough,,,,,2.5 - 4,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/5,stable
6,6,Very rough,,,,,4 - 6,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/6,stable
7,7,High,,,,,6 - 9,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/7,stable
8,8,Very high,,,,,9 - 14,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/8,stable
9,9,Phenomenal,,,,,Over 14,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/9,stable
15,15,Missing value,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-22-061/15,stable
