id,notation,status,description,label,altLabel,source,seeAlso,related,note,iwxxmVersionInfo
http://codes.wmo.int/bufr4/codeflag/0-20-008/0,0,stable,Sky clear,0,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/1,1,stable,Few,1,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/2,2,stable,Scattered,2,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/3,3,stable,Broken,3,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/4,4,stable,Overcast,4,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/6,6,stable,Scattered/broken,6,,,,,(Many forecasts use scattered/broken or broken/overcast followed by cloud type(s)),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/7,7,stable,Broken/overcast,7,,,,,(Many forecasts use scattered/broken or broken/overcast followed by cloud type(s)),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/8,8,stable,Isolated,8,,,,,(Used on aviation charts to describe the cloud type Cb),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/9,9,stable,Isolated embedded,9,,,,,(Used on aviation charts to describe the cloud type Cb),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/10,10,stable,Occasional,10,,,,,(Used on aviation charts to describe the cloud type Cb),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/11,11,stable,Occasional embedded,11,,,,,(Used on aviation charts to describe the cloud type Cb),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/12,12,stable,Frequent,12,,,,,(Used on aviation charts to describe the cloud type Cb),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/13,13,stable,Dense,13,,,,,(Used on aviation charts to describe cloud that would cause sudden changes in visibility (less than 1 000 m)),1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/14,14,stable,Layers,14,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/15,15,stable,Obscured (OBSC),15,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/16,16,stable,Embedded (EMBD),16,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/17,17,stable,Frequent embedded,17,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/bufr4/codeflag/0-20-008/31,31,stable,Missing value,31,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2
