id,notation,status,description,label,related,iwxxmVersionInfo
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/BR,BR,stable,Mist,Mist,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/DS,DS,stable,Duststorm,Duststorm,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/DU,DU,stable,Dust,Dust,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/DZ,DZ,stable,Drizzle,Drizzle,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/FC,FC,stable,Funnel Cloud,Funnel Cloud,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/FG,FG,stable,Fog,Fog,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/FU,FU,stable,Smoke,Smoke,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/GR,GR,stable,Hail,Hail,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/GS,GS,stable,Small Hail,Small Hail,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/HZ,HZ,stable,Haze,Haze,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/PL,PL,stable,Ice pellets,Ice pellets,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/PO,PO,stable,Dust/stand whirls,Dust/stand whirls,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/RA,RA,stable,Rain,Rain,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/SA,SA,stable,Sand,Sand,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/SG,SG,stable,Snow grams,Snow grams,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/SN,SN,stable,Snow,Snow,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/SQ,SQ,stable,Squall,Squall,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/SS,SS,stable,Sandstorm,Sandstorm,,2.1;3.0;2021-2;2023-1;2025-2
http://codes.wmo.int/iwxxm/WeatherCausingVisibilityReduction/VA,VA,stable,Volcanic Ash,Volcanic Ash,,2.1;3.0;2021-2;2023-1;2025-2
