notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
0,0,Nil,,,,,in cloud,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/0,stable
1,1,Light,,,,,in cloud,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/1,stable
2,2,Moderate,,,,,in cloud,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/2,stable
3,3,Severe,,,,,in cloud,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/3,stable
4,4,Nil,,,,,in clear air,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/4,stable
5,5,Light,,,,,in clear air,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/5,stable
6,6,Moderate,,,,,in clear air,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/6,stable
7,7,Severe,,,,,in clear air,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/7,stable
8,8,Nil,,,,,cloud/clear air not specified,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/8,stable
9,9,Light,,,,,cloud/clear air not specified,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/9,stable
10,10,Moderate,,,,,cloud/clear air not specified,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/10,stable
11,11,Severe,,,,,cloud/clear air not specified,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/11,stable
12,12,"Extreme, in clear air",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/12,stable
13,13,"Extreme, in cloud",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/13,stable
14,14,"Extreme, cloud/clear air not specified",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/14,stable
15,15,"Light, isolated moderate",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/15,stable
16,16,"Light, occasional moderate",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/16,stable
17,17,"Light, frequently moderate",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/17,stable
18,18,"Moderate, isolated severe",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/18,stable
19,19,"Moderate, occasional severe",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/19,stable
20,20,"Moderate, frequently severe",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/20,stable
21,21,"Severe, isolated extreme",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/21,stable
22,22,"Severe, occasional extreme",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/22,stable
23,23,"Severe, frequently extreme",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/23,stable
63,63,Missing value,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/bufr4/codeflag/0-11-030/63,stable
